Tag,Dataset,MCM_dataset,cross_section,total_events,completed_events,filter_efficiency,filter_efficiency_error,match_efficiency,match_efficiency_error,negative_weights_fraction,notes,alternative_dataset_used
ST_tW_top_5f_DS_NoFullyHadronicDecays_13TeV-powheg-pythia8_TuneCUETP8M1,/ST_tW_top_5f_DS_NoFullyHadronicDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_5f_DS_NoFullyHadronicDecays_13TeV-powheg-pythia8_TuneCUETP8M1,38.09,3000000,"3,192,627",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00182
ST_tW_top_5f_fsrup_NoFullyHadronicDecays_13TeV-powheg,/ST_tW_top_5f_fsrup_NoFullyHadronicDecays_13TeV-powheg/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_5f_fsrup_NoFullyHadronicDecays_13TeV-powheg,38.09,3000000,"3,212,416",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00198
ST_tW_top_5f_isrup_NoFullyHadronicDecays_13TeV-powheg,/ST_tW_top_5f_isrup_NoFullyHadronicDecays_13TeV-powheg/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_5f_isrup_NoFullyHadronicDecays_13TeV-powheg,38.09,3000000,"3,129,831",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00194
ST_tW_top_5f_MEscaleup_NoFullyHadronicDecays_13TeV-powheg,/ST_tW_top_5f_MEscaleup_NoFullyHadronicDecays_13TeV-powheg/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_5f_MEscaleup_NoFullyHadronicDecays_13TeV-powheg,38.09,3000000,"3,188,774",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00203
ST_tW_top_5f_mtop1695_NoFullyHadronicDecays_13TeV-powheg-pythia8,/ST_tW_top_5f_mtop1695_NoFullyHadronicDecays_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_5f_mtop1695_NoFullyHadronicDecays_13TeV-powheg-pythia8,38.09,3000000,"3,199,011",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00190
ST_tW_top_5f_mtop1755_NoFullyHadronicDecays_13TeV-powheg-pythia8,/ST_tW_top_5f_mtop1755_NoFullyHadronicDecays_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_5f_mtop1755_NoFullyHadronicDecays_13TeV-powheg-pythia8,38.09,3000000,"2,958,559",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00192
ST_tW_top_5f_NoFullyHadronicDecays,/ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1,,"5,429,452","5,372,991",,,,,,,
ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_herwigpp,/ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_herwigpp/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_herwigpp,38.09,3000000,"3,201,087",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00188
ST_tW_top_5f_NoFullyHadronicDecays_ext1,/ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1,38.09,"3,256,650","3,256,650",1,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",SUS-RunIISummer15wmLHEGS-00044
ST_tW_top_5f_NoFullyHadronicDecays_ext2,/ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1/RunIISummer16MiniAODv2-80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext2-v2/MINIAODSIM,ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1,38.09,"2,718,677","2,715,978",0.546,0.002,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",SUS-RunIISummer15wmLHEGS-00099
ST_tW_top_5f_PSscaleup_NoFullyHadronicDecays_13TeV-powheg-pythia8,/ST_tW_top_5f_PSscaleup_NoFullyHadronicDecays_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_5f_PSscaleup_NoFullyHadronicDecays_13TeV-powheg-pythia8,38.09,3000000,"3,124,934",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00184
ST_tW_top_fsrdown_5f_NoFullyHadronicDecays_13TeV-powheg,/ST_tW_top_fsrdown_5f_NoFullyHadronicDecays_13TeV-powheg/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_fsrdown_5f_NoFullyHadronicDecays_13TeV-powheg,38.09,3000000,"2,975,405",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00199
ST_tW_top_isrdown_5f_NoFullyHadronicDecays_13TeV-powheg,/ST_tW_top_isrdown_5f_NoFullyHadronicDecays_13TeV-powheg/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_isrdown_5f_NoFullyHadronicDecays_13TeV-powheg,38.09,3000000,"3,201,658",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00195
ST_tW_top_MEscaledown_5f_NoFullyHadronicDecays_13TeV-powheg,/ST_tW_top_MEscaledown_5f_NoFullyHadronicDecays_13TeV-powheg/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_MEscaledown_5f_NoFullyHadronicDecays_13TeV-powheg,38.09,3000000,"3,052,085",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00205
ST_tW_top_PSscaledown_5f_NoFullyHadronicDecays_13TeV-powheg-pythia8,/ST_tW_top_PSscaledown_5f_NoFullyHadronicDecays_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_top_PSscaledown_5f_NoFullyHadronicDecays_13TeV-powheg-pythia8,38.09,3000000,"3,181,663",0.5,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00187
ST_tW_tugFCNC_leptonDecays_Madgraph,/ST_tW_tugFCNC_leptonDecays_Madgraph/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,ST_tW_tugFCNC_leptonDecays_Madgraph,21.74,2000000,"1,972,968",1,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00241
TT_hdampDOWN_TuneCUETP8M2T4_13TeV-powheg-pythia8,/TT_hdampDOWN_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_hdampDOWN_TuneCUETP8M2T4_13TeV-powheg-pythia8,730,30000000,"29,117,820",1,0,1,0,-1,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00148
TT_hdampUP_TuneCUETP8M2T4_13TeV-powheg-pythia8,/TT_hdampUP_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_hdampUP_TuneCUETP8M2T4_13TeV-powheg-pythia8,730,30000000,"29,689,380",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00149
TT_hdampUP_TuneCUETP8M2T4_13TeV-powheg-pythia8_ext1,/TT_hdampUP_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,TT_hdampUP_TuneCUETP8M2T4_13TeV-powheg-pythia8,730,30000000,"29,169,226",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00174
TT_TuneCUETP8M2T4_13TeV-powheg-colourFlip-pythia8,/TT_TuneCUETP8M2T4_13TeV-powheg-colourFlip-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_TuneCUETP8M2T4_13TeV-powheg-colourFlip-pythia8,730.7,"11,715,285","11,621,730",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00051
TT_TuneCUETP8M2T4_13TeV-powheg-fsrdown-pythia8,/TT_TuneCUETP8M2T4_13TeV-powheg-fsrdown-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_TuneCUETP8M2T4_13TeV-powheg-fsrdown-pythia8,730,"29,716,580","29,716,580",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00048
TT_TuneCUETP8M2T4_13TeV-powheg-fsrup-pythia8,/TT_TuneCUETP8M2T4_13TeV-powheg-fsrup-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_TuneCUETP8M2T4_13TeV-powheg-fsrup-pythia8,730,"29,852,420","29,777,488",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00047
TT_TuneCUETP8M2T4_13TeV-powheg-isrdown-pythia8,/TT_TuneCUETP8M2T4_13TeV-powheg-isrdown-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_TuneCUETP8M2T4_13TeV-powheg-isrdown-pythia8,730,"29,084,029","29,084,029",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00046
TT_TuneCUETP8M2T4_13TeV-powheg-isrup-pythia8,/TT_TuneCUETP8M2T4_13TeV-powheg-isrup-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,TT_TuneCUETP8M2T4_13TeV-powheg-isrup-pythia8,730,"59,142,608","59,033,604",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00100
TT_TuneCUETP8M2T4_13TeV-powheg-MiniAOD,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_TuneCUETP8M2T4_13TeV-powheg-pythia8,730,"77,615,423","77,229,341",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00035
TT_TuneCUETP8M2T4_erdON_13TeV-powheg-pythia8,/TT_TuneCUETP8M2T4_erdON_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_TuneCUETP8M2T4_erdON_13TeV-powheg-pythia8,730,30000000,"29,943,330",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00160
TT_TuneCUETP8M2T4_GluonMoveCRTune_13TeV-powheg-pythia8,/TT_TuneCUETP8M2T4_GluonMoveCRTune_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_TuneCUETP8M2T4_GluonMoveCRTune_13TeV-powheg-pythia8,730,60000000,"59,037,234",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00223
TT_TuneCUETP8M2T4_mtop1665_13TeV-powheg-pythia8,/TT_TuneCUETP8M2T4_mtop1665_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_TuneCUETP8M2T4_mtop1665_13TeV-powheg-pythia8,862.1,"19,397,114","19,380,254",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00036
TT_TuneCUETP8M2T4_mtop1695_13TeV-powheg-pythia8,/TT_TuneCUETP8M2T4_mtop1695_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext2-v1/MINIAODSIM,TT_TuneCUETP8M2T4_mtop1695_13TeV-powheg-pythia8,793.2,20000000,"19,415,360",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00171
TT_TuneCUETP8M2T4_mtop1755_13TeV-powheg-pythia8,/TT_TuneCUETP8M2T4_mtop1755_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_TuneCUETP8M2T4_mtop1755_13TeV-powheg-pythia8,673.8,"29,479,528","29,459,232",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00040
TT_TuneCUETP8M2T4_mtop1785_13TeV-powheg-pythia8,/TT_TuneCUETP8M2T4_mtop1785_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,TT_TuneCUETP8M2T4_mtop1785_13TeV-powheg-pythia8,622.1,"16,485,526","16,377,176",1,0,1,0,0,"Cross section, filter efficiency, filter efficiency error, match efficiencty, match efficiency error, negative weights fraction not listed",TOP-RunIISummer15wmLHEGS-00041
